TEAM_NAME,FG3A,SEASON
Chicago Bulls,15.4,2012-13
Cleveland Cavaliers,19.3,2012-13
Dallas Mavericks,19.9,2012-13
Denver Nuggets,18.5,2012-13
Detroit Pistons,17.6,2012-13
Golden State Warriors,19.9,2012-13
Houston Rockets,28.9,2012-13
Indiana Pacers,19.7,2012-13
Los Angeles Clippers,21.4,2012-13
Los Angeles Lakers,24.6,2012-13
Memphis Grizzlies,13.5,2012-13
Miami Heat,22.1,2012-13
Milwaukee Bucks,20.4,2012-13
Minnesota Timberwolves,18.0,2012-13
New Orleans Hornets,18.0,2012-13
New York Knicks,28.9,2012-13
Oklahoma City Thunder,19.4,2012-13
Orlando Magic,18.7,2012-13
Philadelphia 76ers,17.5,2012-13
Phoenix Suns,17.7,2012-13
Portland Trail Blazers,23.2,2012-13
Sacramento Kings,20.5,2012-13
San Antonio Spurs,21.5,2012-13
Toronto Raptors,20.3,2012-13
Utah Jazz,16.9,2012-13
Washington Wizards,18.2,2012-13
Atlanta Hawks,25.8,2013-14
Boston Celtics,21.1,2013-14
Brooklyn Nets,23.4,2013-14
Charlotte Bobcats,17.9,2013-14
Chicago Bulls,17.8,2013-14
Cleveland Cavaliers,20.0,2013-14
Dallas Mavericks,22.9,2013-14
Denver Nuggets,23.9,2013-14
Detroit Pistons,19.3,2013-14
Golden State Warriors,24.8,2013-14
Houston Rockets,26.6,2013-14
Indiana Pacers,18.8,2013-14
Los Angeles Clippers,24.0,2013-14
Los Angeles Lakers,24.8,2013-14
Memphis Grizzlies,14.0,2013-14
Miami Heat,22.3,2013-14
Milwaukee Bucks,18.9,2013-14
Minnesota Timberwolves,21.4,2013-14
New Orleans Pelicans,15.9,2013-14
New York Knicks,24.9,2013-14
Oklahoma City Thunder,22.4,2013-14
Orlando Magic,19.5,2013-14
Philadelphia 76ers,22.5,2013-14
Phoenix Suns,25.1,2013-14
Portland Trail Blazers,25.3,2013-14
Sacramento Kings,18.0,2013-14
San Antonio Spurs,21.4,2013-14
Toronto Raptors,23.4,2013-14
Utah Jazz,19.2,2013-14
Washington Wizards,20.8,2013-14
Atlanta Hawks,26.2,2014-15
Boston Celtics,24.6,2014-15
Brooklyn Nets,19.9,2014-15
Charlotte Hornets,19.1,2014-15
Chicago Bulls,22.3,2014-15
Cleveland Cavaliers,27.5,2014-15
Dallas Mavericks,25.4,2014-15
Denver Nuggets,24.8,2014-15
Detroit Pistons,24.9,2014-15
Golden State Warriors,27.0,2014-15
Houston Rockets,32.7,2014-15
Indiana Pacers,21.2,2014-15
Los Angeles Clippers,26.9,2014-15
Los Angeles Lakers,18.9,2014-15
Memphis Grizzlies,15.2,2014-15
Miami Heat,20.2,2014-15
Milwaukee Bucks,18.3,2014-15
Minnesota Timberwolves,14.9,2014-15
New Orleans Pelicans,19.3,2014-15
New York Knicks,19.7,2014-15
Oklahoma City Thunder,22.7,2014-15
Orlando Magic,19.5,2014-15
Philadelphia 76ers,26.3,2014-15
Phoenix Suns,25.0,2014-15
Portland Trail Blazers,27.2,2014-15
Sacramento Kings,16.5,2014-15
San Antonio Spurs,22.5,2014-15
Toronto Raptors,25.1,2014-15
Utah Jazz,21.7,2014-15
Washington Wizards,16.8,2014-15
Atlanta Hawks,28.4,2015-16
Boston Celtics,26.1,2015-16
Brooklyn Nets,18.4,2015-16
Charlotte Hornets,29.4,2015-16
Chicago Bulls,21.4,2015-16
Cleveland Cavaliers,29.6,2015-16
Dallas Mavericks,28.6,2015-16
Denver Nuggets,23.7,2015-16
Detroit Pistons,26.2,2015-16
Golden State Warriors,31.6,2015-16
Houston Rockets,30.9,2015-16
Indiana Pacers,23.0,2015-16
LA Clippers,26.7,2015-16
Los Angeles Lakers,24.6,2015-16
Memphis Grizzlies,18.5,2015-16
Miami Heat,18.0,2015-16
Milwaukee Bucks,15.6,2015-16
Minnesota Timberwolves,16.4,2015-16
New Orleans Pelicans,23.8,2015-16
New York Knicks,21.5,2015-16
Oklahoma City Thunder,23.7,2015-16
Orlando Magic,22.2,2015-16
Philadelphia 76ers,27.5,2015-16
Phoenix Suns,25.8,2015-16
Portland Trail Blazers,28.5,2015-16
Sacramento Kings,22.4,2015-16
San Antonio Spurs,18.5,2015-16
Toronto Raptors,23.4,2015-16
Utah Jazz,23.9,2015-16
Washington Wizards,24.2,2015-16
Atlanta Hawks,26.1,2016-17
Boston Celtics,33.4,2016-17
Brooklyn Nets,31.6,2016-17
Charlotte Hornets,28.6,2016-17
Chicago Bulls,22.3,2016-17
Cleveland Cavaliers,33.9,2016-17
Dallas Mavericks,30.2,2016-17
Denver Nuggets,28.8,2016-17
Detroit Pistons,23.4,2016-17
Golden State Warriors,31.2,2016-17
Houston Rockets,40.3,2016-17
Indiana Pacers,23.0,2016-17
LA Clippers,27.4,2016-17
Los Angeles Lakers,25.7,2016-17
Memphis Grizzlies,26.5,2016-17
Miami Heat,27.0,2016-17
Milwaukee Bucks,23.7,2016-17
Minnesota Timberwolves,21.0,2016-17
New Orleans Pelicans,26.8,2016-17
New York Knicks,24.7,2016-17
Oklahoma City Thunder,25.8,2016-17
Orlando Magic,26.1,2016-17
Philadelphia 76ers,29.8,2016-17
Phoenix Suns,22.6,2016-17
Portland Trail Blazers,27.7,2016-17
Sacramento Kings,23.9,2016-17
San Antonio Spurs,23.5,2016-17
Toronto Raptors,24.3,2016-17
Utah Jazz,26.0,2016-17
Washington Wizards,24.8,2016-17
Atlanta Hawks,31.0,2017-18
Boston Celtics,30.4,2017-18
Brooklyn Nets,35.7,2017-18
Charlotte Hornets,27.2,2017-18
Chicago Bulls,31.1,2017-18
Cleveland Cavaliers,32.1,2017-18
Dallas Mavericks,32.8,2017-18
Denver Nuggets,30.9,2017-18
Detroit Pistons,28.9,2017-18
Golden State Warriors,28.9,2017-18
Houston Rockets,42.3,2017-18
Indiana Pacers,24.5,2017-18
LA Clippers,26.8,2017-18
Los Angeles Lakers,29.1,2017-18
Memphis Grizzlies,26.2,2017-18
Miami Heat,30.6,2017-18
Milwaukee Bucks,24.7,2017-18
Minnesota Timberwolves,22.5,2017-18
New Orleans Pelicans,28.2,2017-18
New York Knicks,23.3,2017-18
Oklahoma City Thunder,30.4,2017-18
Orlando Magic,29.3,2017-18
Philadelphia 76ers,29.8,2017-18
Phoenix Suns,27.9,2017-18
Portland Trail Blazers,28.1,2017-18
Sacramento Kings,24.0,2017-18
San Antonio Spurs,24.1,2017-18
Toronto Raptors,33.0,2017-18
Utah Jazz,29.6,2017-18
Washington Wizards,26.5,2017-18
Atlanta Hawks,37.0,2018-19
Boston Celtics,34.5,2018-19
Brooklyn Nets,36.2,2018-19
